No	Name	PropertiesCount	UniqueCategoryCount	CategoryCount
1	1JNL9322340_A-1JNL9322340 - Pyramid	46	9	46
2	1JNL9362899_A-Electrical design requirements, MVS1, NER, Aux Tx-building, Cable ways	31	3	31
3	1JNL9441111_A-Cable Ladder 90 450	84	11	84
4	1JNL9441111_A-Cable Ladder 90 450	100	11	100
5	1JNL9441111_A-Cable Ladder 90 450	100	11	100
6	1JNL9442575_A-MVS Cable Ladder P1	30	3	30
7	1JNL9442576_A-K6 cable tray MVS P1	64	11	64
8	1JNL9442631_A-Cable Ladder MVS	83	11	83
9	1JNL9442631_A-Cable Ladder MVS	99	11	99
10	1JNL9442631_A-Cable Ladder MVS	99	11	99
11	1JNL9442632_A-Cable Ladder MVS	83	11	83
12	1JNL9442632_A-Cable Ladder MVS	99	11	99
13	1JNL9442632_A-Cable Ladder MVS	99	11	99
14	1JNL9442633_A-Cable Ladder MVS	83	11	83
15	1JNL9442633_A-Cable Ladder MVS	99	11	99
16	1JNL9442633_A-Cable Ladder MVS	99	11	99
17	ASTIDC-STAN-HE-EPD-MVB1-M-E-0002.ifc	8	1	8
18	Body	45	9	45
19	Body	63	11	63
20	Body	7	1	7
21	Body	7	1	7
22	Body	7	1	7
23	Body	7	1	7
24	Body	7	1	7
25	Body	7	1	7
26	Body	7	1	7
27	Body	7	1	7
28	Body	7	1	7
29	Body	7	1	7
30	Body	7	1	7
31	Body	7	1	7
32	Body	7	1	7
33	Body	7	1	7
34	Body	7	1	7
35	Body	7	1	7
36	Body	7	1	7
37	Body	7	1	7
38	Body	82	11	82
39	Body	7	1	7
40	Body	7	1	7
41	Body	7	1	7
42	Body	7	1	7
43	Body	82	11	82
44	Body	7	1	7
45	Body	7	1	7
46	Body	7	1	7
47	Body	7	1	7
48	Body	7	1	7
49	Body	7	1	7
50	Body	7	1	7
51	Body	7	1	7
52	Body	7	1	7
53	Body	7	1	7
54	Body	83	11	83
55	Body	7	1	7
56	Body	7	1	7
57	Body	7	1	7
58	Body	7	1	7
59	Body	7	1	7
60	Body	7	1	7
61	Body	7	1	7
62	Body	7	1	7
63	Body	7	1	7
64	Body	7	1	7
65	Body	99	11	99
66	Body	7	1	7
67	Body	7	1	7
68	Body	7	1	7
69	Body	7	1	7
70	Body	7	1	7
71	Body	7	1	7
72	Body	7	1	7
73	Body	7	1	7
74	Body	7	1	7
75	Body	7	1	7
76	Body	7	1	7
77	Body	7	1	7
78	Body	7	1	7
79	Body	7	1	7
80	Body	7	1	7
81	Body	7	1	7
82	Body	7	1	7
83	Body	7	1	7
84	Body	98	11	98
85	Body	7	1	7
86	Body	7	1	7
87	Body	7	1	7
88	Body	7	1	7
89	Body	98	11	98
90	Body	7	1	7
91	Body	7	1	7
92	Body	7	1	7
93	Body	7	1	7
94	Body	98	11	98
95	Body	7	1	7
96	Body	7	1	7
97	Body	7	1	7
98	Body	7	1	7
99	Body	7	1	7
100	Body	7	1	7
101	Body	7	1	7
102	Body	7	1	7
103	Body	7	1	7
104	Body	7	1	7
105	Body	99	11	99
106	Body	7	1	7
107	Body	7	1	7
108	Body	7	1	7
109	Body	7	1	7
110	Body	7	1	7
111	Body	7	1	7
112	Body	7	1	7
113	Body	7	1	7
114	Body	7	1	7
115	Body	7	1	7
116	Body	7	1	7
117	Body	7	1	7
118	Body	7	1	7
119	Body	7	1	7
120	Body	7	1	7
121	Body	7	1	7
122	Body	7	1	7
123	Body	7	1	7
124	Body	98	11	98
125	Body	7	1	7
126	Body	7	1	7
127	Body	7	1	7
128	Body	7	1	7
129	Body	7	1	7
130	Body	7	1	7
131	Body	7	1	7
132	Body	7	1	7
133	Body	7	1	7
134	Body	7	1	7
135	Body	7	1	7
136	Body	7	1	7
137	Body	7	1	7
138	Body	7	1	7
139	Body	7	1	7
140	Body	7	1	7
141	Body	7	1	7
142	Body	82	11	82
143	Body	7	1	7
144	Body	7	1	7
145	Body	7	1	7
146	Body	7	1	7
147	Body	7	1	7
148	Body	7	1	7
149	Body	7	1	7
150	Body	7	1	7
151	Body	7	1	7
152	Body	7	1	7
153	Body	7	1	7
154	Body	7	1	7
155	Body	7	1	7
156	Body	7	1	7
157	Body	7	1	7
158	Body	7	1	7
159	Body	7	1	7
160	Body	98	11	98
161	Body	7	1	7
162	Body	7	1	7
163	Body	7	1	7
164	Body	7	1	7
165	Body	7	1	7
166	Body	7	1	7
167	Body	7	1	7
168	Body	7	1	7
169	Body	7	1	7
170	Body	7	1	7
171	Body	7	1	7
172	Body	7	1	7
173	Body	7	1	7
174	Body	7	1	7
175	Body	7	1	7
176	Body	7	1	7
177	Body	7	1	7
178	Body	98	11	98
179	Default Building	13	2	13
180	MVS Cable Ways P1	23	6	23
